Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365797	25.0	22	0.444	1711163624.419	1122.0	24684.5	34.0	787.4	17323.7	692.948	2.495	95.032	-83.818	620.623	2024	3	23	3	13	44
365800	25.0	19	0.384	1711163688.419	913.7	17360.0	32.5	641.2	12183.3	487.332	1.754	106.906	-80.487	621.014	2024	3	23	3	14	48
365803	25.0	30	0.606	1711163752.419	269.3	8080.0	27.5	189.0	5670.6	226.824	0.817	112.406	-76.956	621.416	2024	3	23	3	15	52
365806	25.0	27	0.545	1711163816.419	734.7	19836.5	32.2	515.6	13921.4	556.856	2.005	115.469	-73.352	621.816	2024	3	23	3	16	56
365809	25.0	12	0.242	1711163880.419	420.1	5040.8	31.2	294.8	3537.7	141.508	0.509	117.374	-69.713	622.208	2024	3	23	3	18	0
365842	25.0	9	0.182	1711164584.419	297.3	2675.3	24.9	208.6	1877.5	75.1	0.27	121.801	-25.52	625.339	2024	3	23	3	29	44
365845	25.0	6	0.121	1711164648.419	447.2	2683.5	27.1	313.9	1883.3	75.332	0.271	121.806	-21.826	625.358	2024	3	23	3	30	48
365848	25.0	2	0.04	1711164712.419	1757.4	3514.9	49.4	1233.4	2466.8	98.672	0.355	121.798	-18.132	625.335	2024	3	23	3	31	52
365851	25.0	5	0.101	1711164776.419	116.2	581.1	33.0	81.6	407.8	16.312	0.059	121.78	-14.437	625.252	2024	3	23	3	32	56
365854	25.0	2	0.04	1711164840.419	168.0	336.1	25.5	118.0	235.9	9.436	0.034	121.754	-10.741	625.126	2024	3	23	3	34	0
365878	25.0	8	0.162	1711165305.92	213.0	1704.0	25.1	149.5	1195.9	47.836	0.172	121.51	18.836	622.24	2024	3	23	3	41	45
365893	25.0	11	0.222	1711165608.419	180.2	1982.5	22.5	126.5	1391.3	55.652	0.2	121.656	37.325	619.123	2024	3	23	3	46	48
365896	25.0	10	0.202	1711165672.419	492.3	4922.6	32.7	345.5	3454.7	138.188	0.497	121.763	41.022	618.434	2024	3	23	3	47	52
365899	25.0	15	0.303	1711165736.419	712.5	10688.0	27.5	500.1	7500.9	300.036	1.08	121.912	44.718	617.735	2024	3	23	3	48	56
365902	25.0	13	0.263	1711165800.419	187.2	2434.2	23.9	131.4	1708.3	68.332	0.246	122.116	48.413	617.024	2024	3	23	3	50	0
365935	25.0	40	0.808	1711166504.419	590.5	23620.3	36.3	414.4	16576.9	663.076	2.387	-112.026	85.492	610.133	2024	3	23	4	1	44
365938	25.0	15	0.303	1711166568.419	558.4	8375.3	32.1	391.9	5877.8	235.112	0.846	-90.922	82.468	609.803	2024	3	23	4	2	48
365941	25.0	26	0.525	1711166632.419	808.7	21025.7	36.9	567.5	14756.0	590.24	2.125	-82.534	79.014	609.529	2024	3	23	4	3	52
365944	25.0	26	0.525	1711166696.419	905.0	23531.0	38.3	635.2	16514.2	660.568	2.378	-78.296	75.432	609.295	2024	3	23	4	4	56
365947	25.0	3	0.061	1711166760.42	391.9	1175.8	32.1	275.1	825.2	33.008	0.119	-75.809	71.798	609.119	2024	3	23	4	6	0
