Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
371016	25.0	241	4.8686868686868685	1711303794.4189994	63.6	15327.7	25.3	44.6	10757.1	430.284	1.549	-104.909	-61.116	623.84
371019	25.0	11	0.2222222222222222	1711303858.4189994	77.3	850.8	21.8	54.3	597.1	23.884	0.086	-104.336	-57.44	624.182
371052	25.0	7	0.1414141414141414	1711304562.4189994	161.4	1129.5	15.0	113.2	792.7	31.708	0.114	-102.911	-13.165	625.597
371057	25.0	4	0.08080808080808081	1711304690.419	352.7	1411.0	25.7	247.6	990.2	39.608	0.143	-102.972	-5.774	625.149
371060	25.0	5	0.10101010101010101	1711304755.419	347.1	1735.5	24.0	243.6	1218.0	48.72	0.175	-103.007	-2.077	624.849
371063	25.0	12	0.24242424242424243	1711304819.4190001	334.4	4012.7	20.3	234.7	2816.1	112.644	0.406	-103.043	1.619	624.493
371096	25.0	124	2.505050505050505	1711305523.419	96.7	11991.3	22.8	67.9	8415.6	336.624	1.212	-102.705	45.989	617.094
371099	25.0	229	4.626262626262626	1711305587.4190001	125.4	28722.0	25.0	88.0	20157.3	806.292	2.903	-102.478	49.684	616.344
371102	19.747	92	2.352997744702814	1711305651.4189994	621.6	57189.7	37.0	436.3	40136.1	2032.516	7.317	-102.173	53.377	615.609
371105	25.0	45	0.9090909090909091	1711305715.5189998	1284.9	57818.8	44.8	901.7	40577.6	1623.104	5.843	-101.762	57.067	614.879
371108	13.324	23	0.8718223968899442	1711305779.4190001	1381.1	31765.9	42.6	969.3	22293.5	1673.184	6.023	-101.204	60.753	614.165
371141	21.78	42	0.9739265937613045	1711306483.4189994	655.1	27514.9	32.5	459.8	19310.1	886.598	3.192	58.02	74.175	608.424
371144	25.0	44	0.8888888888888888	1711306547.419	886.4	39000.2	38.1	622.1	27370.6	1094.824	3.941	60.137	70.529	608.259
371149	24.295	52	1.0809889385728035	1711306675.4190004	613.9	31922.4	38.8	430.8	22403.3	922.136	3.32	62.536	62.969	608.073
371152	25.0	282	5.696969696969697	1711306739.419	145.4	40990.8	26.8	102.0	28767.6	1150.704	4.143	63.25	59.034	608.064
371155	25.0	24	0.48484848484848486	1711306803.419	109.5	2628.6	24.4	76.9	1844.8	73.792	0.266	63.762	55.092	608.098
371158	25.0	14	0.2828282828282828	1711306867.4190004	136.7	1913.4	30.7	95.9	1342.8	53.712	0.193	64.133	51.145	608.195
371161	25.0	23	0.46464646464646464	1711306931.4190001	262.1	6027.3	24.2	183.9	4230.0	169.2	0.609	64.404	47.196	608.33
371164	25.0	12	0.24242424242424243	1711306995.4190001	332.1	3985.6	28.8	233.1	2797.1	111.884	0.403	64.6	43.243	608.507
371167	25.0	13	0.26262626262626265	1711307059.4190004	244.7	3180.5	27.2	171.7	2232.1	89.284	0.321	64.74	39.29	608.728
371170	25.0	8	0.16161616161616163	1711307123.419	459.2	3673.4	26.7	322.2	2578.0	103.12	0.371	64.836	35.335	608.98
371173	25.0	6	0.12121212121212122	1711307187.419	308.3	1849.6	26.7	216.4	1298.1	51.924	0.187	64.898	31.379	609.264
371176	25.0	8	0.16161616161616163	1711307251.419	258.1	2064.6	24.0	181.1	1448.9	57.956	0.209	64.933	27.422	609.572
371179	25.0	7	0.1414141414141414	1711307315.4189994	169.9	1189.1	26.0	119.2	834.5	33.38	0.12	64.947	23.464	609.905
371182	25.0	22	0.4444444444444444	1711307379.4190001	1223.1	26908.8	21.5	858.4	18884.7	755.388	2.719	64.945	19.507	610.25
371185	25.0	14	0.2828282828282828	1711307443.4190004	545.5	7636.6	20.7	382.8	5359.4	214.376	0.772	64.93	15.548	610.614
371188	25.0	3	0.06060606060606061	1711307507.419	130.3	391.0	27.5	91.5	274.4	10.976	0.04	64.905	11.59	610.985
